property,version,outcome
constant-product,v1,P!
constant-product,v2,P!
constant-product,v3,P!
constant-product,v4,N!
deposit-precision,v1,P!
deposit-precision,v2,P!
deposit-precision,v3,N!
deposit-precision,v4,N!
deposit-precision-strict,v1,N!
deposit-precision-strict,v2,N!
deposit-precision-strict,v3,N!
deposit-precision-strict,v4,N!
donation-dos,v1,P!
donation-dos,v2,N!
donation-dos,v3,N!
donation-dos,v4,P!
minimum-liquidity,v1,P!
minimum-liquidity,v2,P!
minimum-liquidity,v3,N!
minimum-liquidity,v4,N!
minimum-liquidity-strict,v1,P!
minimum-liquidity-strict,v2,P!
minimum-liquidity-strict,v3,N!
minimum-liquidity-strict,v4,N!
price-bounds,v1,P!
price-bounds,v2,P!
price-bounds,v3,P!
price-bounds,v4,P!
price-equality,v1,P!
price-equality,v2,P!
price-equality,v3,P!
price-equality,v4,P!
price-symmetry,v1,P!
price-symmetry,v2,P!
price-symmetry,v3,P!
price-symmetry,v4,P!
price-symmetry-strict,v1,N!
price-symmetry-strict,v2,N!
price-symmetry-strict,v3,N!
price-symmetry-strict,v4,N!
redeem-fairness,v1,P!
redeem-fairness,v2,P!
redeem-fairness,v3,P!
redeem-fairness,v4,N!
redeem-liveness,v1,P!
redeem-liveness,v2,P!
redeem-liveness,v3,N!
redeem-liveness,v4,P!
redeem-precision,v1,P!
redeem-precision,v2,P!
redeem-precision,v3,N!
redeem-precision,v4,N!
reserves-not-drained,v1,P!
reserves-not-drained,v2,P!
reserves-not-drained,v3,P!
reserves-not-drained,v4,N!
swap-fee,v1,P!
swap-fee,v2,P!
swap-fee,v3,N!
swap-fee,v4,N!
swap-precision,v1,N!
swap-precision,v2,N!
swap-precision,v3,N!
swap-precision,v4,N!
